Wilaya,LAT,LON,Date,Temperature,Hemudite
Chlef,36.16,1.33,2021-7-23,33.38,28.44
Chlef,36.16,1.33,2021-7-24,34.62,23.88
Chlef,36.16,1.33,2021-7-25,30.69,26.31
Chlef,36.16,1.33,2021-7-26,27.12,45.0
Chlef,36.16,1.33,2021-7-27,28.26,55.19
Chlef,36.16,1.33,2021-7-28,30.05,45.69
Chlef,36.16,1.33,2021-7-29,30.51,46.25
Chlef,36.16,1.33,2021-7-30,33.83,33.69
Chlef,36.16,1.33,2021-7-31,31.09,27.81

Laghouat,33.8,2.86,2021-7-1,35.47,13.56
Laghouat,33.8,2.86,2021-7-2,35.23,16.0
Laghouat,33.8,2.86,2021-7-3,35.38,13.88
Laghouat,33.8,2.86,2021-7-4,34.91,15.25
Laghouat,33.8,2.86,2021-7-5,34.88,12.38
Laghouat,33.8,2.86,2021-7-6,35.8,9.69
Laghouat,33.8,2.86,2021-7-7,34.08,16.94
Laghouat,33.8,2.86,2021-7-8,32.97,20.44
Laghouat,33.8,2.86,2021-7-9,33.97,12.69
Laghouat,33.8,2.86,2021-7-10,35.24,12.5
Laghouat,33.8,2.86,2021-7-11,36.37,13.0
Laghouat,33.8,2.86,2021-7-12,35.23,16.56
Laghouat,33.8,2.86,2021-7-13,32.48,18.62
Laghouat,33.8,2.86,2021-7-14,29.71,32.69
Laghouat,33.8,2.86,2021-7-15,31.36,24.62
Laghouat,33.8,2.86,2021-7-16,32.32,26.69
Laghouat,33.8,2.86,2021-7-17,32.0,19.0
Laghouat,33.8,2.86,2021-7-18,32.44,21.94
Laghouat,33.8,2.86,2021-7-19,29.65,27.19
Laghouat,33.8,2.86,2021-7-20,30.15,22.31
Laghouat,33.8,2.86,2021-7-21,30.65,21.19
Laghouat,33.8,2.86,2021-7-22,32.37,19.75
Laghouat,33.8,2.86,2021-7-23,32.83,17.31
Laghouat,33.8,2.86,2021-7-24,32.88,19.88
Laghouat,33.8,2.86,2021-7-25,33.62,17.88
Laghouat,33.8,2.86,2021-7-26,31.63,23.19
Laghouat,33.8,2.86,2021-7-27,31.13,22.31
Laghouat,33.8,2.86,2021-7-28,32.22,15.44
Laghouat,33.8,2.86,2021-7-29,33.48,14.5
Laghouat,33.8,2.86,2021-7-30,34.26,12.5
Laghouat,33.8,2.86,2021-7-31,34.57,17.5

Oum_ElBouaghi,35.87,7.11,2021-7-1,30.31,29.0
Oum_ElBouaghi,35.87,7.11,2021-7-2,30.94,27.75
Oum_ElBouaghi,35.87,7.11,2021-7-3,31.62,26.25
Oum_ElBouaghi,35.87,7.11,2021-7-4,32.01,22.44
Oum_ElBouaghi,35.87,7.11,2021-7-5,29.69,27.69
Oum_ElBouaghi,35.87,7.11,2021-7-6,32.65,23.94
Oum_ElBouaghi,35.87,7.11,2021-7-7,30.62,30.75
Oum_ElBouaghi,35.87,7.11,2021-7-8,28.82,40.0
Oum_ElBouaghi,35.87,7.11,2021-7-9,28.54,46.56
Oum_ElBouaghi,35.87,7.11,2021-7-10,30.62,31.38
Oum_ElBouaghi,35.87,7.11,2021-7-11,30.87,27.75
Oum_ElBouaghi,35.87,7.11,2021-7-12,33.43,22.75
Oum_ElBouaghi,35.87,7.11,2021-7-13,27.53,43.06
Oum_ElBouaghi,35.87,7.11,2021-7-14,23.19,54.25
Oum_ElBouaghi,35.87,7.11,2021-7-15,25.83,46.81
Oum_ElBouaghi,35.87,7.11,2021-7-16,23.55,54.38
Oum_ElBouaghi,35.87,7.11,2021-7-17,22.82,52.44
Oum_ElBouaghi,35.87,7.11,2021-7-18,23.12,51.94
Oum_ElBouaghi,35.87,7.11,2021-7-19,24.2,49.31
Oum_ElBouaghi,35.87,7.11,2021-7-20,25.99,44.5
Oum_ElBouaghi,35.87,7.11,2021-7-21,26.83,38.81
Oum_ElBouaghi,35.87,7.11,2021-7-22,27.77,32.94
Oum_ElBouaghi,35.87,7.11,2021-7-23,29.89,28.69
Oum_ElBouaghi,35.87,7.11,2021-7-24,31.98,24.25
Oum_ElBouaghi,35.87,7.11,2021-7-25,32.48,24.75
Oum_ElBouaghi,35.87,7.11,2021-7-26,30.51,22.94
Oum_ElBouaghi,35.87,7.11,2021-7-27,29.86,23.94
Oum_ElBouaghi,35.87,7.11,2021-7-28,31.72,22.06
Oum_ElBouaghi,35.87,7.11,2021-7-29,32.01,24.44
Oum_ElBouaghi,35.87,7.11,2021-7-30,32.85,22.94
Oum_ElBouaghi,35.87,7.11,2021-7-31,33.21,20.88

Batna,35.55,6.17,2021-7-1,30.37,22.25
Batna,35.55,6.17,2021-7-2,30.75,22.38
Batna,35.55,6.17,2021-7-3,30.89,21.75
Batna,35.55,6.17,2021-7-4,30.01,23.0
Batna,35.55,6.17,2021-7-5,29.28,24.62
Batna,35.55,6.17,2021-7-6,30.29,24.31
Batna,35.55,6.17,2021-7-7,29.51,28.06
Batna,35.55,6.17,2021-7-8,27.58,33.06
Batna,35.55,6.17,2021-7-9,27.45,36.75
Batna,35.55,6.17,2021-7-10,29.72,28.31
Batna,35.55,6.17,2021-7-11,29.48,28.62
Batna,35.55,6.17,2021-7-12,29.54,25.81
Batna,35.55,6.17,2021-7-13,27.15,37.06
Batna,35.55,6.17,2021-7-14,23.19,48.81
Batna,35.55,6.17,2021-7-15,24.97,42.19
Batna,35.55,6.17,2021-7-16,24.56,44.12
Batna,35.55,6.17,2021-7-17,22.55,40.5
Batna,35.55,6.17,2021-7-18,22.62,42.44
Batna,35.55,6.17,2021-7-19,23.81,42.62
Batna,35.55,6.17,2021-7-20,24.6,42.88
Batna,35.55,6.17,2021-7-21,25.18,37.75
Batna,35.55,6.17,2021-7-22,26.4,35.06
Batna,35.55,6.17,2021-7-23,27.06,34.19
Batna,35.55,6.17,2021-7-24,28.37,29.94
Batna,35.55,6.17,2021-7-25,28.56,28.31
Batna,35.55,6.17,2021-7-26,26.57,24.62
Batna,35.55,6.17,2021-7-27,26.3,26.88
Batna,35.55,6.17,2021-7-28,27.13,28.19
Batna,35.55,6.17,2021-7-29,28.15,27.88
Batna,35.55,6.17,2021-7-30,29.83,23.19
Batna,35.55,6.17,2021-7-31,30.05,22.38

Béjaïa,36.75,5.08,2021-7-1,23.96,77.12
Béjaïa,36.75,5.08,2021-7-2,24.65,76.81
Béjaïa,36.75,5.08,2021-7-3,25.84,73.06
Béjaïa,36.75,5.08,2021-7-4,26.33,67.88
Béjaïa,36.75,5.08,2021-7-5,25.98,71.44
Béjaïa,36.75,5.08,2021-7-6,27.43,65.31
Béjaïa,36.75,5.08,2021-7-7,26.8,64.62
Béjaïa,36.75,5.08,2021-7-8,25.28,81.69
Béjaïa,36.75,5.08,2021-7-9,24.94,76.38
Béjaïa,36.75,5.08,2021-7-10,25.16,74.69
Béjaïa,36.75,5.08,2021-7-11,27.7,61.31
Béjaïa,36.75,5.08,2021-7-12,28.83,57.06
Béjaïa,36.75,5.08,2021-7-13,25.01,75.06
Béjaïa,36.75,5.08,2021-7-14,24.05,69.69
Béjaïa,36.75,5.08,2021-7-15,24.69,70.44
Béjaïa,36.75,5.08,2021-7-16,24.48,68.12
Béjaïa,36.75,5.08,2021-7-17,25.12,63.12
Béjaïa,36.75,5.08,2021-7-18,25.48,63.38
Béjaïa,36.75,5.08,2021-7-19,25.53,69.06
Béjaïa,36.75,5.08,2021-7-20,25.87,73.5
Béjaïa,36.75,5.08,2021-7-21,27.28,66.44
Béjaïa,36.75,5.08,2021-7-22,28.0,63.0
Béjaïa,36.75,5.08,2021-7-23,29.87,55.69
Béjaïa,36.75,5.08,2021-7-24,31.83,47.81
Béjaïa,36.75,5.08,2021-7-25,28.44,65.44
Béjaïa,36.75,5.08,2021-7-26,26.48,78.19
Béjaïa,36.75,5.08,2021-7-27,26.4,79.69
Béjaïa,36.75,5.08,2021-7-28,28.15,70.31
Béjaïa,36.75,5.08,2021-7-29,28.12,70.44
Béjaïa,36.75,5.08,2021-7-30,29.19,63.62
Béjaïa,36.75,5.08,2021-7-31,29.36,62.25

Biskra,34.82,5.69,2021-7-1,38.31,13.38
Biskra,34.82,5.69,2021-7-2,37.48,10.0
Biskra,34.82,5.69,2021-7-3,37.89,13.12
Biskra,34.82,5.69,2021-7-4,38.15,11.62
Biskra,34.82,5.69,2021-7-5,37.53,12.19
Biskra,34.82,5.69,2021-7-6,35.11,20.94
Biskra,34.82,5.69,2021-7-7,35.95,19.06
Biskra,34.82,5.69,2021-7-8,35.82,19.12
Biskra,34.82,5.69,2021-7-9,34.9,20.69
Biskra,34.82,5.69,2021-7-10,37.42,16.5
Biskra,34.82,5.69,2021-7-11,37.85,18.94
Biskra,34.82,5.69,2021-7-12,36.36,17.62
Biskra,34.82,5.69,2021-7-13,35.22,21.56
Biskra,34.82,5.69,2021-7-14,31.58,29.19
Biskra,34.82,5.69,2021-7-15,30.65,30.75
Biskra,34.82,5.69,2021-7-16,33.08,25.69
Biskra,34.82,5.69,2021-7-17,31.26,25.56
Biskra,34.82,5.69,2021-7-18,32.63,24.12
Biskra,34.82,5.69,2021-7-19,31.9,26.0
Biskra,34.82,5.69,2021-7-20,32.01,26.38
Biskra,34.82,5.69,2021-7-21,32.06,28.69
Biskra,34.82,5.69,2021-7-22,33.04,26.69
Biskra,34.82,5.69,2021-7-23,33.01,25.19
Biskra,34.82,5.69,2021-7-24,33.56,23.31
Biskra,34.82,5.69,2021-7-25,34.73,19.19
Biskra,34.82,5.69,2021-7-26,33.96,13.81
Biskra,34.82,5.69,2021-7-27,33.12,17.88
Biskra,34.82,5.69,2021-7-28,32.41,23.0
Biskra,34.82,5.69,2021-7-29,33.51,21.12
Biskra,34.82,5.69,2021-7-30,35.04,14.56
Biskra,34.82,5.69,2021-7-31,36.8,14.12

Béchar,31.61,-2.21,2021-7-1,35.84,12.44
Béchar,31.61,-2.21,2021-7-2,36.33,12.62
Béchar,31.61,-2.21,2021-7-3,36.4,9.56
Béchar,31.61,-2.21,2021-7-4,36.81,10.06
Béchar,31.61,-2.21,2021-7-5,36.15,8.56
Béchar,31.61,-2.21,2021-7-6,37.08,11.5
Béchar,31.61,-2.21,2021-7-7,36.64,15.81
Béchar,31.61,-2.21,2021-7-8,35.16,16.81
Béchar,31.61,-2.21,2021-7-9,34.99,10.12
Béchar,31.61,-2.21,2021-7-10,34.76,11.12
Béchar,31.61,-2.21,2021-7-11,34.79,11.38
Béchar,31.61,-2.21,2021-7-12,37.1,10.19
Béchar,31.61,-2.21,2021-7-13,36.3,18.56
Béchar,31.61,-2.21,2021-7-14,35.94,11.88
Béchar,31.61,-2.21,2021-7-15,36.33,10.12
Béchar,31.61,-2.21,2021-7-16,36.58,8.94
Béchar,31.61,-2.21,2021-7-17,37.01,10.62
Béchar,31.61,-2.21,2021-7-18,36.16,21.5
Béchar,31.61,-2.21,2021-7-19,33.56,14.81
Béchar,31.61,-2.21,2021-7-20,33.9,19.62
Béchar,31.61,-2.21,2021-7-21,33.77,16.44
Béchar,31.61,-2.21,2021-7-22,34.52,16.0
Béchar,31.61,-2.21,2021-7-23,34.98,14.44
Béchar,31.61,-2.21,2021-7-24,36.15,13.12
Béchar,31.61,-2.21,2021-7-25,35.73,20.62
Béchar,31.61,-2.21,2021-7-26,35.26,16.5
Béchar,31.61,-2.21,2021-7-27,34.33,13.25
Béchar,31.61,-2.21,2021-7-28,34.51,12.31
Béchar,31.61,-2.21,2021-7-29,34.69,12.5
Béchar,31.61,-2.21,2021-7-30,34.98,12.94
Béchar,31.61,-2.21,2021-7-31,34.85,13.06

Blida,36.47,2.83,2021-7-1,26.48,54.88
Blida,36.47,2.83,2021-7-2,26.96,52.88
Blida,36.47,2.83,2021-7-3,29.32,40.81
Blida,36.47,2.83,2021-7-4,29.19,34.88
Blida,36.47,2.83,2021-7-5,30.14,29.25
Blida,36.47,2.83,2021-7-6,30.51,33.0
Blida,36.47,2.83,2021-7-7,27.93,45.19
Blida,36.47,2.83,2021-7-8,25.55,69.0
Blida,36.47,2.83,2021-7-9,27.05,58.69
Blida,36.47,2.83,2021-7-10,28.66,50.56
Blida,36.47,2.83,2021-7-11,32.58,33.12
Blida,36.47,2.83,2021-7-12,32.3,28.94
Blida,36.47,2.83,2021-7-13,25.62,59.19
Blida,36.47,2.83,2021-7-14,23.95,57.06
Blida,36.47,2.83,2021-7-15,24.79,61.44
Blida,36.47,2.83,2021-7-16,24.74,55.0
Blida,36.47,2.83,2021-7-17,26.87,38.75
Blida,36.47,2.83,2021-7-18,27.58,38.88
Blida,36.47,2.83,2021-7-19,26.73,46.44
Blida,36.47,2.83,2021-7-20,27.31,45.62
Blida,36.47,2.83,2021-7-21,29.98,33.81
Blida,36.47,2.83,2021-7-22,30.96,32.38
Blida,36.47,2.83,2021-7-23,31.55,29.75
Blida,36.47,2.83,2021-7-24,34.11,25.81
Blida,36.47,2.83,2021-7-25,31.0,35.75
Blida,36.47,2.83,2021-7-26,27.29,49.81
Blida,36.47,2.83,2021-7-27,27.27,60.0
Blida,36.47,2.83,2021-7-28,28.74,47.44
Blida,36.47,2.83,2021-7-29,29.94,45.25
Blida,36.47,2.83,2021-7-30,32.07,34.38
Blida,36.47,2.83,2021-7-31,32.22,31.31

Bouira,36.37,3.90,2021-7-1,27.26,50.44
Bouira,36.37,3.90,2021-7-2,28.12,46.5
Bouira,36.37,3.90,2021-7-3,29.99,39.56
Bouira,36.37,3.90,2021-7-4,29.9,31.31
Bouira,36.37,3.90,2021-7-5,30.88,27.0
Bouira,36.37,3.90,2021-7-6,31.87,28.31
Bouira,36.37,3.90,2021-7-7,28.97,37.5
Bouira,36.37,3.90,2021-7-8,26.14,62.19
Bouira,36.37,3.90,2021-7-9,27.99,53.25
Bouira,36.37,3.90,2021-7-10,29.65,44.44
Bouira,36.37,3.90,2021-7-11,33.81,28.69
Bouira,36.37,3.90,2021-7-12,33.33,24.94
Bouira,36.37,3.90,2021-7-13,26.09,54.69
Bouira,36.37,3.90,2021-7-14,23.74,55.81
Bouira,36.37,3.90,2021-7-15,25.58,57.12
Bouira,36.37,3.90,2021-7-16,24.68,52.56
Bouira,36.37,3.90,2021-7-17,26.3,38.81
Bouira,36.37,3.90,2021-7-18,27.26,37.31
Bouira,36.37,3.90,2021-7-19,26.57,43.44
Bouira,36.37,3.90,2021-7-20,27.04,47.06
Bouira,36.37,3.90,2021-7-21,29.73,31.62
Bouira,36.37,3.90,2021-7-22,31.42,29.06
Bouira,36.37,3.90,2021-7-23,32.38,26.25
Bouira,36.37,3.90,2021-7-24,34.75,22.62
Bouira,36.37,3.90,2021-7-25,32.28,28.56
Bouira,36.37,3.90,2021-7-26,28.27,45.62
Bouira,36.37,3.90,2021-7-27,28.64,50.56
Bouira,36.37,3.90,2021-7-28,30.24,36.06
Bouira,36.37,3.90,2021-7-29,31.22,32.69
Bouira,36.37,3.90,2021-7-30,33.15,26.25
Bouira,36.37,3.90,2021-7-31,32.93,28.31

Tamanrasset,22.78,5.52,2021-7-1,27.12,13.69
Tamanrasset,22.78,5.52,2021-7-2,27.43,15.38
Tamanrasset,22.78,5.52,2021-7-3,26.89,12.56
Tamanrasset,22.78,5.52,2021-7-4,27.54,11.5
Tamanrasset,22.78,5.52,2021-7-5,29.09,12.25
Tamanrasset,22.78,5.52,2021-7-6,30.63,12.19
Tamanrasset,22.78,5.52,2021-7-7,29.9,10.06
Tamanrasset,22.78,5.52,2021-7-8,28.04,15.0
Tamanrasset,22.78,5.52,2021-7-9,27.0,27.31
Tamanrasset,22.78,5.52,2021-7-10,27.7,28.44
Tamanrasset,22.78,5.52,2021-7-11,26.83,16.38
Tamanrasset,22.78,5.52,2021-7-12,28.21,13.38
Tamanrasset,22.78,5.52,2021-7-13,27.4,12.94
Tamanrasset,22.78,5.52,2021-7-14,27.56,17.31
Tamanrasset,22.78,5.52,2021-7-15,27.72,15.5
Tamanrasset,22.78,5.52,2021-7-16,27.73,17.38
Tamanrasset,22.78,5.52,2021-7-17,28.26,17.75
Tamanrasset,22.78,5.52,2021-7-18,30.02,13.94
Tamanrasset,22.78,5.52,2021-7-19,30.01,16.25
Tamanrasset,22.78,5.52,2021-7-20,30.31,16.25
Tamanrasset,22.78,5.52,2021-7-21,27.37,34.62
Tamanrasset,22.78,5.52,2021-7-22,27.35,39.69
Tamanrasset,22.78,5.52,2021-7-23,27.62,37.62
Tamanrasset,22.78,5.52,2021-7-24,27.57,29.69
Tamanrasset,22.78,5.52,2021-7-25,27.47,31.56
Tamanrasset,22.78,5.52,2021-7-26,27.48,29.44
Tamanrasset,22.78,5.52,2021-7-27,26.63,27.5
Tamanrasset,22.78,5.52,2021-7-28,27.34,30.69
Tamanrasset,22.78,5.52,2021-7-29,26.3,43.06
Tamanrasset,22.78,5.52,2021-7-30,27.12,31.5
Tamanrasset,22.78,5.52,2021-7-31,27.93,23.44

Tébessa,35.4,8.12,2021-7-1,31.3,24.06
Tébessa,35.4,8.12,2021-7-2,30.69,26.31
Tébessa,35.4,8.12,2021-7-3,30.01,32.12
Tébessa,35.4,8.12,2021-7-4,31.4,26.81
Tébessa,35.4,8.12,2021-7-5,28.22,31.94
Tébessa,35.4,8.12,2021-7-6,31.43,29.25
Tébessa,35.4,8.12,2021-7-7,31.86,27.94
Tébessa,35.4,8.12,2021-7-8,29.42,35.06
Tébessa,35.4,8.12,2021-7-9,28.79,43.81
Tébessa,35.4,8.12,2021-7-10,30.67,31.44
Tébessa,35.4,8.12,2021-7-11,28.45,31.5
Tébessa,35.4,8.12,2021-7-12,31.59,24.69
Tébessa,35.4,8.12,2021-7-13,29.39,35.44
Tébessa,35.4,8.12,2021-7-14,23.9,52.94
Tébessa,35.4,8.12,2021-7-15,26.13,42.69
Tébessa,35.4,8.12,2021-7-16,24.13,49.94
Tébessa,35.4,8.12,2021-7-17,22.08,54.0
Tébessa,35.4,8.12,2021-7-18,21.9,56.56
Tébessa,35.4,8.12,2021-7-19,23.12,49.88
Tébessa,35.4,8.12,2021-7-20,25.69,44.69
Tébessa,35.4,8.12,2021-7-21,26.5,42.69
Tébessa,35.4,8.12,2021-7-22,26.23,36.19
Tébessa,35.4,8.12,2021-7-23,27.99,32.44
Tébessa,35.4,8.12,2021-7-24,29.88,26.5
Tébessa,35.4,8.12,2021-7-25,30.92,23.62
Tébessa,35.4,8.12,2021-7-26,29.4,20.75
Tébessa,35.4,8.12,2021-7-27,28.34,25.75
Tébessa,35.4,8.12,2021-7-28,29.63,22.56
Tébessa,35.4,8.12,2021-7-29,31.29,23.56
Tébessa,35.4,8.12,2021-7-30,32.04,21.62
Tébessa,35.4,8.12,2021-7-31,32.4,21.06

Tlemcen,34.87,-1.31,2021-7-1,25.58,55.75
Tlemcen,34.87,-1.31,2021-7-2,28.16,42.44
Tlemcen,34.87,-1.31,2021-7-3,28.99,36.62
Tlemcen,34.87,-1.31,2021-7-4,28.01,31.5
Tlemcen,34.87,-1.31,2021-7-5,29.7,30.75
Tlemcen,34.87,-1.31,2021-7-6,27.81,36.5
Tlemcen,34.87,-1.31,2021-7-7,25.22,45.19
Tlemcen,34.87,-1.31,2021-7-8,25.65,41.88
Tlemcen,34.87,-1.31,2021-7-9,27.84,54.0
Tlemcen,34.87,-1.31,2021-7-10,31.67,29.19
Tlemcen,34.87,-1.31,2021-7-11,33.53,21.81
Tlemcen,34.87,-1.31,2021-7-12,29.97,33.44
Tlemcen,34.87,-1.31,2021-7-13,24.34,40.62
Tlemcen,34.87,-1.31,2021-7-14,25.05,46.25
Tlemcen,34.87,-1.31,2021-7-15,25.08,52.25
Tlemcen,34.87,-1.31,2021-7-16,25.44,58.25
Tlemcen,34.87,-1.31,2021-7-17,27.98,46.0
Tlemcen,34.87,-1.31,2021-7-18,26.05,51.62
Tlemcen,34.87,-1.31,2021-7-19,25.46,47.75
Tlemcen,34.87,-1.31,2021-7-20,25.96,50.75
Tlemcen,34.87,-1.31,2021-7-21,28.42,46.81
Tlemcen,34.87,-1.31,2021-7-22,28.99,47.31
Tlemcen,34.87,-1.31,2021-7-23,32.51,36.94
Tlemcen,34.87,-1.31,2021-7-24,30.43,37.81
Tlemcen,34.87,-1.31,2021-7-25,27.7,37.31
Tlemcen,34.87,-1.31,2021-7-26,24.4,52.31
Tlemcen,34.87,-1.31,2021-7-27,26.11,54.62
Tlemcen,34.87,-1.31,2021-7-28,27.26,56.38
Tlemcen,34.87,-1.31,2021-7-29,29.46,51.19
Tlemcen,34.87,-1.31,2021-7-30,32.31,36.62
Tlemcen,34.87,-1.31,2021-7-31,27.49,40.94

Tiaret,35.37,1.32,2021-7-1,26.58,50.62
Tiaret,35.37,1.32,2021-7-2,28.08,41.19
Tiaret,35.37,1.32,2021-7-3,29.95,31.88
Tiaret,35.37,1.32,2021-7-4,28.76,27.56
Tiaret,35.37,1.32,2021-7-5,30.18,26.25
Tiaret,35.37,1.32,2021-7-6,29.33,30.19
Tiaret,35.37,1.32,2021-7-7,26.73,39.62
Tiaret,35.37,1.32,2021-7-8,26.69,50.94
Tiaret,35.37,1.32,2021-7-9,30.21,43.88
Tiaret,35.37,1.32,2021-7-10,31.32,31.88
Tiaret,35.37,1.32,2021-7-11,33.94,25.75
Tiaret,35.37,1.32,2021-7-12,30.0,31.25
Tiaret,35.37,1.32,2021-7-13,25.6,40.25
Tiaret,35.37,1.32,2021-7-14,25.36,45.88
Tiaret,35.37,1.32,2021-7-15,27.56,41.31
Tiaret,35.37,1.32,2021-7-16,27.12,42.12
Tiaret,35.37,1.32,2021-7-17,29.42,29.81
Tiaret,35.37,1.32,2021-7-18,27.08,39.94
Tiaret,35.37,1.32,2021-7-19,27.19,37.56
Tiaret,35.37,1.32,2021-7-20,27.61,42.31
Tiaret,35.37,1.32,2021-7-21,30.15,29.31
Tiaret,35.37,1.32,2021-7-22,30.19,30.5
Tiaret,35.37,1.32,2021-7-23,32.75,24.31
Tiaret,35.37,1.32,2021-7-24,33.15,23.12
Tiaret,35.37,1.32,2021-7-25,29.3,27.5
Tiaret,35.37,1.32,2021-7-26,25.69,43.19
Tiaret,35.37,1.32,2021-7-27,27.62,50.56
Tiaret,35.37,1.32,2021-7-28,29.81,34.0
Tiaret,35.37,1.32,2021-7-29,29.4,38.0
Tiaret,35.37,1.32,2021-7-30,33.94,26.06
Tiaret,35.37,1.32,2021-7-31,29.65,31.25

Tizi_Ouzou,36.71,4.04,2021-7-1,27.26,50.44
Tizi_Ouzou,36.71,4.04,2021-7-2,28.12,46.5
Tizi_Ouzou,36.71,4.04,2021-7-3,29.99,39.56
Tizi_Ouzou,36.71,4.04,2021-7-4,29.9,31.31
Tizi_Ouzou,36.71,4.04,2021-7-5,30.88,27.0
Tizi_Ouzou,36.71,4.04,2021-7-6,31.87,28.31
Tizi_Ouzou,36.71,4.04,2021-7-7,28.97,37.5
Tizi_Ouzou,36.71,4.04,2021-7-8,26.14,62.19
Tizi_Ouzou,36.71,4.04,2021-7-9,27.99,53.25
Tizi_Ouzou,36.71,4.04,2021-7-10,29.65,44.44
Tizi_Ouzou,36.71,4.04,2021-7-11,33.81,28.69
Tizi_Ouzou,36.71,4.04,2021-7-12,33.33,24.94
Tizi_Ouzou,36.71,4.04,2021-7-13,26.09,54.69
Tizi_Ouzou,36.71,4.04,2021-7-14,23.74,55.81
Tizi_Ouzou,36.71,4.04,2021-7-15,25.58,57.12
Tizi_Ouzou,36.71,4.04,2021-7-16,24.68,52.56
Tizi_Ouzou,36.71,4.04,2021-7-17,26.3,38.81
Tizi_Ouzou,36.71,4.04,2021-7-18,27.26,37.31
Tizi_Ouzou,36.71,4.04,2021-7-19,26.57,43.44
Tizi_Ouzou,36.71,4.04,2021-7-20,27.04,47.06
Tizi_Ouzou,36.71,4.04,2021-7-21,29.73,31.62
Tizi_Ouzou,36.71,4.04,2021-7-22,31.42,29.06
Tizi_Ouzou,36.71,4.04,2021-7-23,32.38,26.25
Tizi_Ouzou,36.71,4.04,2021-7-24,34.75,22.62
Tizi_Ouzou,36.71,4.04,2021-7-25,32.28,28.56
Tizi_Ouzou,36.71,4.04,2021-7-26,28.27,45.62
Tizi_Ouzou,36.71,4.04,2021-7-27,28.64,50.56
Tizi_Ouzou,36.71,4.04,2021-7-28,30.24,36.06
Tizi_Ouzou,36.71,4.04,2021-7-29,31.22,32.69
Tizi_Ouzou,36.71,4.04,2021-7-30,33.15,26.25
Tizi_Ouzou,36.71,4.04,2021-7-31,32.93,28.31

Alger,36.75,3.04,2021-7-1,23.8,79.25
Alger,36.75,3.04,2021-7-2,23.79,83.88
Alger,36.75,3.04,2021-7-3,24.9,73.81
Alger,36.75,3.04,2021-7-4,25.39,69.31
Alger,36.75,3.04,2021-7-5,26.28,61.44
Alger,36.75,3.04,2021-7-6,26.32,66.19
